商品コード,法人名,商品名,型番,全国平均貸与価格（円）,貸与価格の上限（円）
00122-000430,株式会社ミキ,SKT-4Lo　「スキット4Lo」　自走型低座面スレンダー車いす,SKT-4Lo,5976,6640
00122-000431,株式会社ミキ,MC-HG　けあ花がすみ　自走用,MC-HG,4845,5300
00122-000433,株式会社ミキ,SKT-7　「スキット7」　介助型スレンダー・ティルト車いす,SKT-7,7553,8150
00122-000436,株式会社ミキ,マルチエルゴエレベーティング,,1607,2080
00122-000444,株式会社ミキ,SKT-5　六輪車　自走型,SKT-5,6488,7090
00122-000445,株式会社ミキ,標準自走型　低床　ABS仕様,RX_ABS Lo,5836,6630
00122-000448,株式会社ミキ,Grand Fletcher・Uni_sp（グランドフリッチャー・ユニ_シルバーパッケージ）,MGF・Uni_sp,12309,13300
00122-000451,株式会社ミキ,アルミ製標準自走型車いす,BAL-1,2630,3130
00122-000452,株式会社ミキ,アルミ製標準介助型車いす,BAL-2,2516,3040
00122-000453,株式会社ミキ,アルミ製ウイング・スイング自走型車いす,BAL-3,3793,4440
00122-000454,株式会社ミキ,アルミ製ウイング・スイング介助型車いす,BAL-4,3734,4250
00122-000455,株式会社ミキ,ニューライト2,M-43NL,5707,6780
00122-000456,株式会社ミキ,ニューライト2,MC-43NL,5475,6720
00122-000457,株式会社ミキ,標準介助型　低床　ABS仕様,RXC_ABS　Lo,5944,6660
00122-000461,株式会社ミキ,スマートヘッドサポート,MS-0009,1885,2130
00122-000471,株式会社ミキ,BALシリーズ　モジュール型ウイング自走車いす,BAL-5,4515,5140
00122-000472,株式会社ミキ,BALシリーズ　モジュール型ウイング介助車いす,BAL-6,4418,5090
00122-000474,株式会社ミキ,押手高調整機能付車いす,UR-2,2923,3660
00122-000477,株式会社ミキ,横乗り車いす　ラクーネ2,LK-2,7025,7720
00122-000481,株式会社ミキ,BALシリーズ　軽量タイプ　自走型,BAL-7SP,3741,4520
00122-000482,株式会社ミキ,BALシリーズ　軽量タイプ　介助型,BAL-8SP,3523,4070
00122-000485,株式会社ミキ,SKT-8　「スキット8」　介助型スレンダー　ティルト・リクライニング車いす,SKT-8,8390,9250
00122-000486,株式会社ミキ,横乗り車いす　ラクーネ3,LK-3,6501,7200
00122-000491,株式会社ミキ,NEXTROLLER_SPⅡ（ネクストローラー＿シルバーパッケージⅡ）,NR_spⅡ,10497,11480
00122-000508,株式会社ミキ,BALシリーズ　ティルト＆リクライニング　介助型車いす,BAL-12,7717,8450
00122-000511,株式会社ミキ,M-43RK　超々軽量　自走型車いす,M-43RK,4754,5340
00122-000512,株式会社ミキ,MC-43RK　超々軽量　介助型車いす,MC-43RK,4181,4660
00122-000513,株式会社ミキ,SKT_JUX「スキット_JUX」コンパクト電動車いす（ニッケル水素バッテリー）,SKT_JUX,23657,27270
00122-000515,株式会社ミキ,MSR-1,MSR-1,4647,4920
00122-000516,株式会社ミキ,MSR-2,MSR-2,4399,4680
00122-000517,株式会社ミキ,SKT_JUX「スキット_JUX」コンパクト電動車いす　介助操作部無（ニッケル水素バッテリー）,SKT_JUX_E Ni,25649,26690
00122-000521,株式会社ミキ,SKT_Plus ABS「スキットプラスABS」,SKT_Plus ABS,7645,8160
00122-000524,株式会社ミキ,SKT-1000「スキット1000」自走型コンパクトモジュール車いす,SKT-1000,6387,6940
00122-000525,株式会社ミキ,SKT-2000「スキット2000」介助型コンパクトモジュール車いす,SKT-2000,6232,6810
00122-000526,株式会社ミキ,SKT-200「スキット200」介助型コンパクト車いす,SKT-200,5848,6440
00122-000527,株式会社ミキ,SKT-400「スキット400」自走型コンパクト車いす,SKT-400,6189,6790
00122-000528,株式会社ミキ,MBY-41B　ノンバックブレーキ付き自走型車いす　低座面,MBY-41B,5440,5980
00122-000529,株式会社ミキ,MBY-47B　ノンバックブレーキ付き自走型車いす,MBY-47B,5587,6130
00122-000530,株式会社ミキ,ケアフィットプラス,MC-WF001,3186,3580
00122-000531,株式会社ミキ,SKT-400B「スキット400B」ノンバックブレーキ付き自走型車いす,SKT-400B,6650,7150
00122-000532,株式会社ミキ,SKT-200B「スキット200B」ノンバックブレーキ付き介助型車いす,SKT-200B,6629,7140
00122-000534,株式会社ミキ,MBY-41B　SW　ノンバックブレーキ付き自走型車いす　スイングアウト,MBY-41B　SW,6063,6530
00122-000535,株式会社ミキ,SKT-1000Lo「スキット1000ロー」自走型コンパクトモジュール車いす,SKT-1000Lo,6036,6530
00122-000539,株式会社ミキ,スキット_JUXプラス　コンパクト電動車いす（ニッケル水素バッテリー）,SKT_JUX　Plus,25038,27190
00122-000540,株式会社ミキ,スキット_JUXプラス　コンパクト電動車いす介助操作部無（ニッケル水素バッテリー）,SKT_JUX　Plus_E,26006,27590
00122-000543,株式会社ミキ,ケアフィットプラス　介助型,MC-WF002,3117,3480
00122-000548,株式会社ミキ,SEATUS「シータス」　セルフリクライニング車いす　自走型,STS-1,9156,9790
00122-000550,株式会社ミキ,着せかえ車いす　MPR-1　自走型,MPR-1,3507,3610
00122-000553,株式会社ミキ,SKT-500「スキット500」自走型コンパクト車いす6輪,SKT-500,6449,6770
00122-000554,株式会社ミキ,SKT-600「スキット600」介助型コンパクト車いす6輪,SKT-600,6456,6750
00122-000557,株式会社ミキ,グランドフリッチャー・ユニ ダッシュ_シルバーパッケージ,GF・Uni Dash_sp,12342,13600
00122-000558,株式会社ミキ,スキット4ロー　ユナイテッド-コンパクト車いす　自走型 低座面,SKT-4Lo United,5625,6410
00122-000559,株式会社ミキ,MBY-41RB　ノンバックブレーキ付き自走型車いす,MBY-41RB,6315,6790
00122-000560,株式会社ミキ,カルッタ　自走型　CRT-1,CRT-1,4077,4480
00122-000562,株式会社ミキ,カルッタ　介助型　CRT-2,CRT-2,4074,4460
00122-000564,株式会社ミキ,カルッタ　自走型　ウイングスイングアウト　CRT-3,CRT-3,4989,5360
00122-000565,株式会社ミキ,カルッタ　自走型　ウイングスイングアウト　低座面　CRT-3Lo,CRT-3Lo,5818,6250
00122-000566,株式会社ミキ,カルッタ　介助型　ウイングスイングアウト　CRT-4,CRT-4,5387,6000
00122-000567,株式会社ミキ,カルッタ　介助型　ウイングスイングアウト　低座面　CRT-4Lo,CRT-4Lo,5806,6330
00122-000568,株式会社ミキ,カルティマ　自走型　CRT-5,CRT-5,4687,5190
00122-000570,株式会社ミキ,カルティマ　介助型　CRT-6,CRT-6,4661,5200
00122-000572,株式会社ミキ,カルティマ　自走型　ウイングスイングアウト　CRT-7,CRT-7,5730,6220
00122-000573,株式会社ミキ,カルティマ　自走型　ウイングスイングアウト　低座面　CRT-7Lo,CRT-7Lo,5923,6270
00122-000574,株式会社ミキ,カルティマ　介助型　ウイングスイングアウト　CRT-8,CRT-8,5688,6210
00122-000575,株式会社ミキ,カルティマ　介助型　ウイングスイングアウト　低座面　CRT-8Lo,CRT-8Lo,5851,6250
00122-000577,株式会社ミキ,USGシリーズ　標準自走型車いす,USG-1,2428,2810
00122-000578,株式会社ミキ,USGシリーズ　標準介助型車いす,USG-2,2370,2740
00122-000579,株式会社ミキ,MEF-14　軽量モジュール車いす　介助型　低座面,MEF-14,6825,7270
00122-000580,株式会社ミキ,MEF-16　軽量モジュール車いす　介助型,MEF-16,6770,7230
00122-000581,株式会社ミキ,MEF-20　軽量モジュール車いす　自走型　低座面,MEF-20,6749,7230
00122-000582,株式会社ミキ,MEF-22　軽量モジュール車いす　自走型,MEF-22,6724,7240
00122-000583,株式会社ミキ,TRC-3DX　ティルト＆リクライニング車いす　介助型,TRC-3DX,8779,9410
00122-000584,株式会社ミキ,ケアフィットウイング　（自走）,MC-WF003,5670,6180
00122-000585,株式会社ミキ,ケアフィットウイング　（介助）,MC-WF004,5707,6220
00122-000587,株式会社ミキ,MEF-22-NC　軽量モジュール車いす　自走型,MEF-22-NC,6383,6650
00122-000588,株式会社ミキ,カルッタ　自走型　CRT-1-NC,CRT-1-NC,3910,4290
00122-000589,株式会社ミキ,カルッタ　介助型　CRT-2-NC,CRT-2-NC,3954,4210
00122-000601,株式会社ミキ,CRT用ボンベ架　（CRT-1Lo/5Lo以外）,MS-0027,1003,1140
00122-000609,株式会社ミキ,CRT-1-CZ 軽量モジュール車いす 自走型,CRT-1-CZ,4937,5200
00122-000610,株式会社ミキ,CRT-2-CZ 軽量モジュール車いす 介助型,CRT-2-CZ,4939,5200
00122-000611,株式会社ミキ,CRT-1LoB 軽量ノンバックブレーキ付車いす 自走型,CRT-1LoB,5672,6160
00122-000612,株式会社ミキ,CRT-3LoB 軽量ノンバックブレーキ付車いす WSW 自走型,CRT-3LoB,6349,6730
00122-000614,株式会社ミキ,はなプラス14SW 介助型車いす,はなプラス14SW,5903,6440
00122-000617,株式会社ミキ,KJP-5 モジュール車いす 自走型,KJP-5,8331,9010
00122-000618,株式会社ミキ,MYU5-16　モジュール車いす 介助型,MYU5-16,4560,5170
00122-000619,株式会社ミキ,MYU5-22　モジュール車いす 自走型,MYU5-22,4442,4950
00122-000620,株式会社ミキ,CRT-WR　ティルト・リクライニング式車いす 軽量タイプ,CRT-WR,8409,9080
00122-000626,株式会社ミキ,エアールクッション　ALC-35-38,ALC-35-38,1280,1560
00122-000627,株式会社ミキ,エアールクッション　ALC-35-40,ALC-35-40,1286,1550
00122-000628,株式会社ミキ,エアールクッション　ALC-80-40,ALC-80-40,1927,2210
00122-000629,株式会社ミキ,CRT-WR_EL ティルト・リクライニング式車いす　軽量タイプマルチエルゴ仕様,CRT-WR_EL,9065,9950
00122-000631,株式会社ミキ,ジターン　自走式　JTN-1,JTN-1,2990,3380
00122-000632,株式会社ミキ,ジターン　介助型　JTN-2,JTN-2,2905,3260
00122-000633,株式会社ミキ,ジターン　自走式 ウィングスウィングアウト　JTN-3,JTN-3,4004,4420
00122-000634,株式会社ミキ,ジターン　介助型　ウィングスウィングアウト　JTN-4,JTN-4,3961,4380
00122-000638,株式会社ミキ,CRT-3-CZ　軽量モジュール車いす　自走型,CRT-3-CZ,5825,6260
00122-000639,株式会社ミキ,CRT-4-CZ 軽量モジュール車いす　介助型,CRT-4-CZ,5812,6250
00122-Z00006,株式会社ミキ,スキット８　Ｓ＆ＥＶ　（スイングアウト＆エレベーティング脚仕様）,ＭＩＫＩ－ＳＫＴ－８　ＥＲＥＢＥＥＴＩＮＧ,7678,8470
00123-000038,キヨタ株式会社,ワイヤレスビーム式徘徊離床感知器,ADX-540HO,3482,4000
00123-000044,キヨタ株式会社,ステンレス製トイレアシスト,KT-200SA,3278,3900
00125-000006,株式会社星光医療器製作所,折りたたみ歩行器　アルコー１型,,3470,3920
00125-000007,株式会社星光医療器製作所,折りたたみ歩行器　アルコーＤＸ型,,3354,3780
00125-000008,株式会社星光医療器製作所,アルコー３型中,100013,3273,3670
00125-000011,株式会社星光医療器製作所,歩行補助器　アルコー　１Ｓ型,100415,3404,3830
00125-000012,株式会社星光医療器製作所,段差解消機 アルコー3000型Bタイプ,100461,11981,13550
00125-000015,株式会社星光医療器製作所,アルコー１Ｇ型,100486,3173,3400
00125-000019,株式会社星光医療器製作所,アルコー13型　Ｂ,100473,3816,4220
00125-000021,株式会社星光医療器製作所,アルコー１Ｇ-Ｔ型,100491,3815,4210
00125-000022,株式会社星光医療器製作所,アルコーＣＧ-Ｔ型,100495,3897,4190
00125-000023,株式会社星光医療器製作所,歩行補助器アルコーキューブＣ,100499,2849,3280
00125-000025,株式会社星光医療器製作所,歩行補助器アルコーＩＳ-Ｘ型,100498,4139,4800
00125-000026,株式会社星光医療器製作所,アルコーセルフウォーカー,100514,3356,3650
00125-000027,株式会社星光医療器製作所,アルコー 10型,100517,2134,2440
00125-000033,株式会社星光医療器製作所,アルコー2段ハンドル固定歩行器,100526,2203,2510
00125-000034,株式会社星光医療器製作所,アルコーニューセルフウォーカー,100531,3274,3700
00125-000035,株式会社星光医療器製作所,アルコーCH型,100512,3477,3910
00125-000036,株式会社星光医療器製作所,アルコー30型,100532,3866,4160
00125-000040,株式会社星光医療器製作所,アルコーSK型,100536,3950,4240
00125-000041,株式会社星光医療器製作所,アルコー1S-T型,100490,3846,4240
00125-000042,株式会社星光医療器製作所,アルコースタンダー［メトロウォーカー］,100538,2268,2580
00125-000049,株式会社星光医療器製作所,アルコーBW型S,100558,3760,4140
00125-000051,株式会社星光医療器製作所,アルコー1S-C型,100564,3801,4210
00125-000052,株式会社星光医療器製作所,アルコー1G-C型,100565,4180,4540
00125-000056,株式会社星光医療器製作所,アルコー6000型,100574,12896,13920
00125-000057,株式会社星光医療器製作所,アルコー10型B,100577,2334,2660
00125-000064,株式会社星光医療器製作所,アルコー13型,100465,3391,3690
00125-000065,株式会社星光医療器製作所,アルコー6型W,100472,3607,4060
00125-000066,株式会社星光医療器製作所,アルコーアクティ　簡易平行棒,100480,4799,5290
00125-000071,株式会社星光医療器製作所,アルコーSK型α,100604,5322,6050
00125-000072,株式会社星光医療器製作所,アルコースリム,100607,2974,3200
00125-000075,株式会社星光医療器製作所,アルコー１０型M,100611,2052,2270
00125-000076,株式会社星光医療器製作所,アルコー１０型L,100612,2057,2250
00125-000077,株式会社星光医療器製作所,アルコー１０型-A,100613,2388,2740
00125-000078,株式会社星光医療器製作所,アルコー１０型-C,100615,2352,2650
00125-000079,株式会社星光医療器製作所,アルコー１０型M-A,100616,2382,2710
00125-000080,株式会社星光医療器製作所,アルコー１０型M-B,100617,2325,2630
00125-000081,株式会社星光医療器製作所,アルコー１０型M-C,100618,2395,2740
00125-000082,株式会社星光医療器製作所,アルコー１０型L-A,100619,2428,2750
00125-000083,株式会社星光医療器製作所,アルコー１０型L-B,100620,2346,2630
00125-000084,株式会社星光医療器製作所,アルコー１０型L-C,100621,2403,2680
00125-000087,株式会社星光医療器製作所,アルコーSK型mini（ミニ）,100628,3981,4300
00125-000094,株式会社星光医療器製作所,アルコー　ウィット-T（抵抗器付）,100641,3520,3980
00125-000095,株式会社星光医療器製作所,アルコー10型D,100643,2488,2730
00125-000096,株式会社星光医療器製作所,アルコー10型M-D,100644,2482,2750
00125-000097,株式会社星光医療器製作所,アルコー10型L-D,100645,2448,2750
00125-000098,株式会社星光医療器製作所,アルコー　ウィット,100646,3342,3690
00126-000011,ニック株式会社,サイドウォーカー　シルバー,NR-203 SI,1288,1530
00126-000078,ニック株式会社,アルミ製四点杖（スモールベース）・銀,NR-161 SI,938,1110
00126-000079,ニック株式会社,アルミ製四点杖（ラージベース）,NR-162,1005,1030
00126-000080,ニック株式会社,アルミ製四点杖（スモールベース）・茶,NR-161 BR,546,660
00126-000164,ニック株式会社,アルミ製標準型車いす・ドラムブレーキ付,NP-43JD,2764,3110
00126-000166,ニック株式会社,アルミ製標準型車いす,NPC-46JD,2339,2730
00127-000043,コクヨファニチャー株式会社,電動立ち上がり補助リフト「アシスタンド座イス・布張りタイプ」,HE-CJES20K,8723,10090
00127-000071,コクヨファニチャー株式会社,電動立ち上がり補助リフト「アシスタンド座イス・ﾚﾝﾀﾙﾀｲﾌ,HE-CJES20R,8934,9990
00131-Z00004,株式会社フォーライフメディカル,ハピネス・ウォーカー（四輪歩行車）,6301-6000,2908,3180
00131-Z00006,株式会社フォーライフメディカル,カプチーノＸＰ,６３０１－６０５０,3033,3150
00133-000017,明電興産株式会社,アーチパートナー,ACTA201,19723,21910
00136-000025,クリスタル産業株式会社,Ｕラインウォーカー,AL-125,1859,2190
00136-000026,クリスタル産業株式会社,Ｕラインウォーカー,AL-125A,1919,2250
00136-000050,クリスタル産業株式会社,ロフストランドクラッチ（Ａアームカフタイプ）,KR-97BA,593,730
00136-000051,クリスタル産業株式会社,ロフストランドクラッチ（Ａアームカフタイプ）,KR-108A,999,1170
00136-000053,クリスタル産業株式会社,ロフストランドクラッチ（Ｂアームカフタイプ）,KR-97BB,1025,1110
00136-000054,クリスタル産業株式会社,ロフストランドクラッチ（Ｂアームカフタイプ）,KR-108B,1249,1510
00136-000058,クリスタル産業株式会社,クウォードケイン（スワン型）,AL-133,1010,1070
00139-000002,株式会社ミクニライフ＆オート,ミクニ　マイティエースⅡ　ベッドセット,ACE-MBDW,18570,19960
00139-000029,株式会社ミクニライフ＆オート,ミクニ　マイティエースⅡ　ベッドセットZ,ACE-MBDZW,18786,20550
00148-000001,株式会社シクロケア,スロープゆるやか,,871,1130
00148-000008,株式会社シクロケア,スロープ フリーサイズ,,1162,1420
00148-000023,株式会社シクロケア,うすおきフラット（サイドタイプ）,SCT-02,1917,2160
00148-000029,株式会社シクロケア,うすおきフラット（サイドタイプ）うすおきマット付MG仕様,SCT-02（SCT-M）MG,2500,2500
00148-000074,株式会社シクロケア,かるスリムプラス,SCW-01PL-BE,3091,3390
00149-000005,アイ・ソネックス株式会社,ＦＣ－２　背・座クッションセット,,1977,2550
00149-000007,アイ・ソネックス株式会社,ＦＣ－アジャスト　フルセット,,2595,3260
00149-000008,アイ・ソネックス株式会社,ＦＣ－アジャスト　標準セット,,2535,3030
00149-000011,アイ・ソネックス株式会社,ナーセント ロール　M,,1961,2190
00149-000012,アイ・ソネックス株式会社,ナーセントパットＡ,,2526,3000
00149-000016,アイ・ソネックス株式会社,ＦＣ-コキュー君,,1961,2170
00149-000017,アイ・ソネックス株式会社,ライトターン,,2048,2380
00149-000020,アイ・ソネックス株式会社,エルダークッション,,919,1190
00149-000021,アイ・ソネックス株式会社,ゲルファースト,,1036,1160
00149-000022,アイ・ソネックス株式会社,Fc-フィット（腰）,,893,1120
00149-000023,アイ・ソネックス株式会社,Fc-フィット（背）,,1252,1530
00149-000026,アイ・ソネックス株式会社,FC-アジャスト　背クッションのみフルタイプ,,1465,1650
00149-000027,アイ・ソネックス株式会社,FC-アジャスト　背クッションのみ標準タイプ,,1418,1640
00149-000028,アイ・ソネックス株式会社,FC-アジャスト　座クッションのみ,,1393,1600
00149-000034,アイ・ソネックス株式会社,ナーセントExロール200,,2002,2270
00149-000035,アイ・ソネックス株式会社,ナーセントExロール150,,1822,2100
00149-000036,アイ・ソネックス株式会社,ナーセントExロール100,,1369,1700
00149-000037,アイ・ソネックス株式会社,ナーセントExワイド,,2025,2200
00149-000038,アイ・ソネックス株式会社,ナーセントExユー　Mサイズ,,1759,2030
00149-000039,アイ・ソネックス株式会社,ナーセントExユー　Lサイズ,,1861,2060
00149-000045,アイ・ソネックス株式会社,ナーセントパットA　2点セット,,1778,2130
00149-000048,アイ・ソネックス株式会社,ナーセントパットL50,,1057,1180
00152-000003,スズキ株式会社,スズキセニアカー,ET4A,18975,21580
00152-000004,スズキ株式会社,スズキモーターチェア　ＭＣ３０００Ｓ,MC3000S,23923,26010
00152-000008,スズキ株式会社,スズキセニアカー,ET4C,18625,20800
00152-000012,スズキ株式会社,スズキセニアカー,ET4D,20509,22370
00152-000013,スズキ株式会社,スズキセニアカー,ET4F,20406,22080
00152-000014,スズキ株式会社,セニアカー用ステッキホルダー,69100-ET,952,1130
00152-000015,スズキ株式会社,セニアカー用リヤバスケット,69200-ET,1011,1110
00152-000016,スズキ株式会社,スズキ　タウンカート,TC1A,20223,21050
00152-000017,スズキ株式会社,スズキセニアカー,ET4FS,21023,22750
00152-000022,スズキ株式会社,スズキセニアカー,ET4D　7型,22305,24200
00152-000023,スズキ株式会社,スズキ　タウンカート,TC1A　5型,20046,21090
00152-000025,スズキ株式会社,スズキ　セニアカー,ET4D　8型,21961,23620
00152-000026,スズキ株式会社,スズキ　セニアカー,ET4D　9型,22050,23820
00156-000005,株式会社アルバジャパン,スーパーグリップ,SG-01,1023,1200
00156-000010,株式会社アルバジャパン,多機能型車いす・イーウイング22,EW-2201,7743,8630
00156-000015,株式会社アルバジャパン,スーパーヘッド,SH-01,1681,1990
00156-000037,株式会社アルバジャパン,スカラモービル S35,SM-S35,56272,59920
00156-000038,株式会社アルバジャパン,スカラモービル S36・コンビタイプ,SM-S36,61241,63200
00160-000003,株式会社カワムラサイクル,ＫＡＬ－４０Ｂ,KAL-40B,4239,5300
00160-000009,株式会社カワムラサイクル,アルミ製自走用車いす,KA22-40SB,4053,5020
00160-000024,株式会社カワムラサイクル,アルミ製自走用車いす,KA100SB,2933,3180
00160-000025,株式会社カワムラサイクル,アルミ製介助用車いす,KA16-40SB,3608,4490
00160-000028,株式会社カワムラサイクル,アルミ製介助用車いす,KA16-40HB,4422,5340
00160-000031,株式会社カワムラサイクル,アルミ製自走用車いす,KA200,3065,3650
00160-000034,株式会社カワムラサイクル,アルミ製自走用車いす,KA200SB,3222,3890
00160-000035,株式会社カワムラサイクル,アルミ製介助用車いす,KA300S,3031,3860
00160-000036,株式会社カワムラサイクル,アルミ製介助用車いす,KA300SB,2891,3300
00160-000084,株式会社カワムラサイクル,アルミ製自走用車いす,KA822-B,5011,5880
00160-000087,株式会社カワムラサイクル,アルミ製自走用車いす,KA820-B,5069,6000
00160-000088,株式会社カワムラサイクル,アルミ製介助用車いす,KA816-B,4874,5780
00160-000089,株式会社カワムラサイクル,適合くん22,FA22-40SB,4773,5470
00160-000093,株式会社カワムラサイクル,簡易平行棒,BP2,3061,3880
00160-000100,株式会社カワムラサイクル,こまわりくん１８,KAK18-40,5960,6960
00160-000101,株式会社カワムラサイクル,アルミ製自走用車いす,KA822-ELB,6009,7170
00160-000105,株式会社カワムラサイクル,こまわりくん１６,KAK16-40,5144,6220
00160-000106,株式会社カワムラサイクル,アルミ製介助用車いす,KA816-ELB,5972,6960
00160-000119,株式会社カワムラサイクル,四輪歩行車,KW20,2753,3200
00160-000121,株式会社カワムラサイクル,アルミ製 自走用車いす,SA22-40SB,4587,5350
00160-000122,株式会社カワムラサイクル,アルミ製 介助用車いす,SA16-40SB,4745,5320
00160-000126,株式会社カワムラサイクル,ティルト・リクライニング車いす,KX16-42N,7734,8780
00160-000133,株式会社カワムラサイクル,“あい＆ゆうき”の１８インチ（車いす）,AY18-38,4019,4350
00160-000139,株式会社カワムラサイクル,“あい＆ゆうき”の軽量車いす,AYL22-38・40,3052,3900
00160-000144,株式会社カワムラサイクル,“あい＆ゆうき”のクリオネット,AYK-40,7535,9510
00160-000147,株式会社カワムラサイクル,“あい＆ゆうき”の軽量車いす,AYL16-38・40,3033,3770
00160-000164,株式会社カワムラサイクル,フルリクライニング車いす,RR60NB,7409,8330
00160-000166,株式会社カワムラサイクル,酸素ボンベ架台スタンダード車いす用（φ100mm以下用）,酸素ボンベ架台スタンダード車いす用（φ100mm以下用）,845,1070
00160-000169,株式会社カワムラサイクル,杖置き（杖立て）,,422,560
00160-000170,株式会社カワムラサイクル,延長ブレーキ棒（10cm）,,446,570
00160-000172,株式会社カワムラサイクル,軽量簡易モジュール,KA822L-40(38、42)B,4803,5580
00160-000173,株式会社カワムラサイクル,軽量簡易モジュール,KA816L-40(38、42)B,4629,5320
00160-000174,株式会社カワムラサイクル,軽量ベーシックモジュール,BML22-40SB,3201,3710
00160-000175,株式会社カワムラサイクル,軽量ベーシックモジュール,BML20-40SB,3167,3550
00160-000176,株式会社カワムラサイクル,軽量ベーシックモジュール,BML16-40SB,3139,3620
00160-000177,株式会社カワムラサイクル,軽量ベーシックモジュール,BML14-40SB,2943,3300
00160-000178,株式会社カワムラサイクル,忘れ騎士＜ディスク式＞付軽量簡易モジュール,KA822L-40（38・42）B-MS/WD（S）2,5779,6920
00160-000180,株式会社カワムラサイクル,忘れ騎士＜ディスク式＞付ベーシックモジュール車いす,BM22-40（38・42）SB-M/WD（S）2,3991,4990
00160-000183,株式会社カワムラサイクル,ティルト・リクライニング車いす,KPF16-40(42),8460,9440
00160-000184,株式会社カワムラサイクル,室内用六輪車いす　こまわりくん,KAK18-40,6087,6870
00160-000185,株式会社カワムラサイクル,低床型簡易モジュール車いす,KZ20,5586,6280
00160-000186,株式会社カワムラサイクル,ベーシックモジュール車いす,BM22-45SB-M,4828,5330
00160-000187,株式会社カワムラサイクル,ベーシックモジュール車いす,BM16-45SB-M,4875,5300
00160-000191,株式会社カワムラサイクル,〈低床型〉室内用六輪車いす　こまわりくん,KAK18-40-LO,6691,7290
00160-000193,株式会社カワムラサイクル,ベーシックモジュール車いす,BM22,2794,3730
00160-000194,株式会社カワムラサイクル,ベーシックモジュール車いす,BM20,3116,3640
00160-000195,株式会社カワムラサイクル,ベーシックモジュール車いす,BM16,2301,3000
00160-000196,株式会社カワムラサイクル,低床型簡易モジュール車いす,KZ16,5467,6190
00160-000197,株式会社カワムラサイクル,中床型簡易モジュール車いす,KZM22,5624,6190
00160-000198,株式会社カワムラサイクル,中床型簡易モジュール車いす,KZM16,5743,6290
00160-000199,株式会社カワムラサイクル,アルミフレーム車いす,KA102SB,2799,3260
00160-000200,株式会社カワムラサイクル,アルミフレーム車いす,KA202SB,2959,3400
00160-000201,株式会社カワムラサイクル,アルミフレーム車いす,KA302SB,2727,3140
00160-000202,株式会社カワムラサイクル,アルミフレーム車いす,KA402SB,2753,3110
00160-000203,株式会社カワムラサイクル,(低床型)ぴったりフィット　ティルト・リクライニング車いす,KPF16-40-LO,7936,9160
00160-000204,株式会社カワムラサイクル,ティルト・リクライニング車いす　モジュールタイプ,KXL16-42EL,7883,8540
00160-000207,株式会社カワムラサイクル,KM22-40,KM22-40,4056,4900
00160-000209,株式会社カワムラサイクル,KM16-40,KM16-40,4278,4780
00160-000213,株式会社カワムラサイクル,<低床型>　六輪車いす　こまわりくん,KAK20-40-LO,6616,7550
00160-000214,株式会社カワムラサイクル,<低床型>　六輪車いす　こまわりくん,KAK16-40-LO,6335,7540
00160-000216,株式会社カワムラサイクル,六輪車いす　こまわりくん,KAK16-40,6067,6850
00160-000217,株式会社カワムラサイクル,テーブル面ファスナー,テーブル面ファスナー,966,1120
00160-000231,株式会社カワムラサイクル,四輪歩行器,KW40,2878,3160
00160-000232,株式会社カワムラサイクル,四輪歩行器,KW41,3659,4040
00160-000233,株式会社カワムラサイクル,アルミ製標準車いす,KV22-40SB,2713,3180
00160-000234,株式会社カワムラサイクル,アルミ製標準車いす,KV16-40SB,2656,3170
00160-000237,株式会社カワムラサイクル,アルミ製次世代型標準車いす,WA22,4173,4650
00160-000238,株式会社カワムラサイクル,アルミ製次世代型標準車いす,WA16,4112,4590
00160-000240,株式会社カワムラサイクル,アルミ製介助用軽量車いす,KF16,4543,5040
00160-000241,株式会社カワムラサイクル,アルミ製自走用軽量車いす,KF22,4627,5130
00160-000242,株式会社カワムラサイクル,アルミ製次世代型標準車いす,WAP22,5205,5750
00160-000243,株式会社カワムラサイクル,アルミ製次世代型標準車いす,WAP16,5178,5740
00160-000244,株式会社カワムラサイクル,ティルト・リクライニング車いす,KXL16-42,7926,9190
00160-000246,株式会社カワムラサイクル,C’arco,KW50,3940,4360
00160-000248,株式会社カワムラサイクル,アルミ製介助用多機能軽量車いす,KFP16,5534,6010
00160-000249,株式会社カワムラサイクル,アルミ製自走用多機能軽量車いす,KFP22,5557,6040
00160-000250,株式会社カワムラサイクル,ティルト・リクライニング車いす,KPFK-12,8668,9320
00160-000256,株式会社カワムラサイクル,アルミ製介助用多機能軽量車いす,KFP16-40SB/HANA,5894,6360
00160-000259,株式会社カワムラサイクル,4点支持杖（低重心）　S4　大,S4　大,1256,1560
00160-000260,株式会社カワムラサイクル,4点支持杖（低重心）　S4　小,S4　小,1056,1390
00160-000261,株式会社カワムラサイクル,延長ブレーキ棒（20cm）,,460,580
00160-000265,株式会社カワムラサイクル,<低床型>　室内用六輪車いす　こまわりくん,KAK20-40B-LO,7099,8220
00160-000269,株式会社カワムラサイクル,酸素ボンベ架台スタンダード車いす用　（φ130mm以下用）,酸素ボンベ架台スタンダード車いす用　（φ130mm以下用）,900,1110
00160-000286,株式会社カワムラサイクル,KMD-A22,KMD-A22,3179,3690
00160-000287,株式会社カワムラサイクル,KMD-A16,KMD-A16,3141,3550
